Date,Action,Phase,Product ID,Product Name,Price,Sector,Index,10D ROI,Index 10D ROI,Last X Day High,Last X Day Low,SD Ratio,Max ROI,Min ROI,10D Max ROI,10D MIN ROI,Current ROI,Vol spike,Long Stop Loss SD,Long Stop Loss XD,Long Profit Take,Short Stop Loss SD,Short Stop Loss XD,Short Profit Take,Slope,Long RR,Short RR,S/R,Price:S/R %,1 Day,1 Day %,Portfolio Status,Portfolio Return,Portfolio Max Return,Held Duration,Open Low Range %,Correlation co-efficient,Phase (numerical),Bonus,Lyr,5yr,3yr,1yr
20190124,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.06,1.42,10000.00,0.00,-0.92,1.47,0.00,NaN,NaN,1.45,NaN,1.63,1.62,1.63,1.63,1.63,1.63,1.59,2.20,0.34,1.62,0.236,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1511,14.00,0.00,3.02,NaN,NaN,NaN
20190125,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.06,2.33,10000.00,0.00,-0.78,1.46,0.00,NaN,NaN,1.44,NaN,1.63,1.62,1.63,1.63,1.63,1.63,1.59,1.90,0.40,1.62,0.236,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1566,14.00,0.00,3.02,NaN,NaN,NaN
20190129,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.06,1.73,10000.00,0.00,-1.19,1.45,0.00,NaN,NaN,1.43,NaN,1.63,1.62,1.63,1.63,1.63,1.63,1.59,3.02,0.23,1.62,0.236,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1659,14.00,0.00,3.02,NaN,NaN,NaN
20190130,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.06,1.19,10000.00,0.00,-1.04,1.44,0.00,NaN,NaN,1.42,NaN,1.63,1.62,1.63,1.63,1.64,1.63,1.60,2.52,0.29,1.62,0.237,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1694,14.00,0.00,3.02,NaN,NaN,NaN
20190131,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.06,0.68,10000.00,0.00,-0.90,1.44,0.00,NaN,NaN,1.42,NaN,1.63,1.62,1.63,1.63,1.64,1.63,1.60,2.14,0.35,1.62,0.237,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1765,14.00,0.00,3.02,NaN,NaN,NaN
20190201,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.07,0.36,10000.00,0.00,-0.75,1.43,0.00,NaN,NaN,1.41,NaN,1.63,1.62,1.63,1.63,1.64,1.63,1.60,1.84,0.42,1.62,0.237,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1821,14.00,0.00,3.02,NaN,NaN,NaN
20190204,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.08,0.30,10000.00,0.00,-0.35,1.41,0.00,NaN,NaN,1.39,NaN,1.63,1.62,1.63,1.63,1.64,1.63,1.60,1.24,0.63,1.60,1.517,0.00,0.02,NOT HELD,NaN,NaN,NaN,0,-0.1892,14.00,0.00,3.02,NaN,NaN,NaN
20190205,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.627,016,016,0.07,1.63,10000.00,0.00,-0.21,1.41,0.00,NaN,NaN,1.39,NaN,1.63,1.62,1.63,1.63,1.64,1.63,1.60,1.08,0.73,1.60,1.523,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1891,14.00,0.00,3.02,NaN,NaN,NaN
20190206,Normal ReBal,100+ Day High,011,CFS WS Cash (011),1.628,016,016,0.07,2.48,10000.00,0.00,-0.08,1.40,0.00,NaN,NaN,1.38,NaN,1.63,1.62,1.63,1.63,1.64,1.63,1.60,0.96,0.83,1.60,1.523,0.00,0.01,NOT HELD,NaN,NaN,NaN,0,-0.1973,14.00,0.00,3.02,NaN,NaN,NaN
20190207,Normal ReBal,No action.,011,CFS WS Cash (011),1.628,016,016,0.07,3.91,0.00,0.00,-0.43,1.40,0.00,NaN,NaN,1.38,NaN,1.63,1.62,1.63,1.63,1.64,1.63,1.60,1.33,0.59,1.60,1.517,0.00,0.00,NOT HELD,NaN,NaN,NaN,0,-0.2093,0.00,0.00,3.02,NaN,NaN,NaN
